Ano,nivel_geografico,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,rm,Colesterol elevado,18077,48,406,744,1158,1271,1475,1450,1456,1351,1210,7508,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,1.9002375296912115,3.1629791212215643,5.28296527728467,7.655692185640619,9.537030089292415,11.678543151227236,12.988176280902902,13.261681391747882,13.04054054054054,12.306753458096013,6.88946392849933,8.148371858209224
2023,rm,Glicemia alterada,47517,275,1608,2044,2469,2378,2574,2528,2613,2626,2507,25895,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,10.886777513855899,12.527267061389841,14.513952992970246,16.322887742959143,17.84347565093419,20.380047505938244,22.644213543532786,23.799981783404682,25.347490347490346,25.498372660699758,23.76167666868542,21.41871912300314
2023,rm,Presion arterial elevada,50673,112,934,1390,1920,2066,2540,2426,2732,2765,2792,30996,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,4.433887569279493,7.276410096603303,9.870056096002273,12.69337564458548,15.502363622720791,20.110847189231986,21.730562522393406,24.883869204845617,26.68918918918919,28.39707078925956,28.442437923250562,22.84131477407955
2023,rm,Tabaquismo,48626,237,3592,4633,4887,4293,4168,3578,3408,3068,2865,13897,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,9.382422802850355,27.983795574945464,32.897820066747144,32.30860769535898,32.212801080513245,33.00079176563737,32.049444643496955,31.041078422442848,29.613899613899612,29.139544344995933,12.75211510580117,21.918610940824347
2024,rm,Colesterol elevado,21366,60,550,960,1426,1592,1843,1744,1847,1772,1625,7947,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,1.968503937007874,3.0133683979837826,4.889228418640183,6.817421236314959,8.32505360037651,10.500826163751354,11.516872482335073,12.250447701797441,12.655334952149694,11.69232983163045,6.433046772548448,7.625811978014134
2024,rm,Glicemia alterada,57134,303,2282,2830,3271,3313,3415,3313,3533,3562,3476,27836,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,9.940944881889765,12.502739425816348,14.413037942449709,15.63799780083186,17.324687549024734,19.457580764628794,21.878095489665192,23.433043708960668,25.43922296814741,25.010792919844583,22.533067819385757,20.39189092726105
2024,rm,Presion arterial elevada,60627,132,1375,1992,2535,2882,3196,3404,3667,3815,3738,33891,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,4.330708661417323,7.533420994959457,10.145148968678381,12.119328775637042,15.070857083093655,18.209788616033272,22.47903321666777,24.321814684618957,27.246107698900158,26.895956252698227,27.434552430909708,21.63858947819259
2024,rm,Tabaquismo,62656,363,4709,6210,6524,6032,5636,4657,4638,3972,3946,15969,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,11.909448818897637,25.799912338373876,31.62719633307869,31.189941196156234,31.543167912984366,32.11213036294228,30.75348345770323,30.762087948530876,28.367376089130126,28.392574471146926,12.9268055757929,22.362766792776075
2025,rm,Colesterol elevado,32928,38,647,1094,1852,2337,2739,3006,3735,3743,4421,9316,388901,4934,20426,22138,24937,25484,25200,25198,29365,32192,38980,140047,Hombre,0.7701661937576003,3.1675315774013515,4.941729153491734,7.426715322612985,9.170459896405587,10.869047619047619,11.929518215731408,12.719223565469095,11.627112326043736,11.34171369933299,6.652052525223675,8.46693631541189
2025,rm,Glicemia alterada,80522,401,2422,2862,3745,4265,4737,5382,7020,8320,10366,31002,388901,4934,20426,22138,24937,25484,25200,25198,29365,32192,38980,140047,Hombre,8.127280097284151,11.85743660041124,12.927997109043273,15.017844969322693,16.73599121017109,18.797619047619047,21.35883800301611,23.90601055678529,25.844930417495032,26.593124679322727,22.136854056138297,20.70501232961602
2025,rm,Presion arterial elevada,81988,105,1384,1883,2924,3818,4917,5792,7392,8577,10631,34565,388901,4934,20426,22138,24937,25484,25200,25198,29365,32192,38980,140047,Hombre,2.128090798540738,6.775678057377851,8.50573674225314,11.725548381922444,14.981949458483754,19.51190476190476,22.98595126597349,25.172824791418357,26.643265407554672,27.272960492560287,24.68099995001678,21.081972018585706
2025,rm,Tabaquismo,82093,328,4643,6230,7052,7239,7102,6943,7847,7606,9184,17919,388901,4934,20426,22138,24937,25484,25200,25198,29365,32192,38980,140047,Hombre,6.6477503040129715,22.73083325173798,28.141656879573585,28.279263744636484,28.406058703500236,28.18253968253968,27.553774109056274,26.722288438617404,23.626988071570576,23.560800410466907,12.794990253272115,21.10897117775475
