Ano,nivel_geografico,profesional,total_ambos_sexos,proporcion_profesional_pct,sexo
2023,rm,Enfermera/o,208896,43.518640042498674,Mujer
2023,rm,Matrona/on,30836,6.423965917731738,Mujer
2023,rm,Medico/a,4624,0.9633032301073924,Mujer
2023,rm,Nutricionista,46970,9.785110881951606,Mujer
2023,rm,Otro profesional capacitado en EMP y EMPAM,72157,15.032238575877837,Mujer
2023,rm,Tecnico en enfermeria,116532,24.276741351832758,Mujer
2024,rm,Enfermera/o,228999,42.747859330927746,Mujer
2024,rm,Matrona/on,29942,5.589353683145509,Mujer
2024,rm,Medico/a,4469,0.8342402514854479,Mujer
2024,rm,Nutricionista,52279,9.759061559052974,Mujer
2024,rm,Otro profesional capacitado en EMP y EMPAM,75290,14.05458682800165,Mujer
2024,rm,Tecnico en enfermeria,144718,27.014898347386673,Mujer
2025,rm,Enfermera/o,265437,38.76730154974565,Mujer
2025,rm,Matrona/on,36053,5.26557157733466,Mujer
2025,rm,Medico/a,14335,2.0936390469889425,Mujer
2025,rm,Nutricionista,76476,11.169385403385167,Mujer
2025,rm,Otro profesional capacitado en EMP y EMPAM,80697,11.785866074284387,Mujer
2025,rm,Tecnico en enfermeria,211695,30.918236348261193,Mujer
