Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,proporcion_profesional_pct,sexo
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Enfermera/o,65.41081127683421,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Matrona/on,9.535304767652383,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Medico/a,0.008621432882145013,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Nutricionista,16.035865160789722,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Otro profesional capacitado en EMP y EMPAM,8.974911630312958,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Tecnico en enfermeria,0.03448573152858005,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Enfermera/o,41.54829545454545,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Matrona/on,2.9356060606060606,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Medico/a,0.0946969696969697,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Nutricionista,21.721117424242426,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Otro profesional capacitado en EMP y EMPAM,25.76941287878788,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Tecnico en enfermeria,7.930871212121213,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Enfermera/o,85.14594162335067,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Matrona/on,2.1191523390643745,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Nutricionista,9.39624150339864,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Otro profesional capacitado en EMP y EMPAM,2.938824470211915,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Tecnico en enfermeria,0.39984006397441024,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Enfermera/o,53.37821591728781,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Matrona/on,3.750901659052657,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Medico/a,0.1843391840987417,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Nutricionista,26.01586919932676,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Otro profesional capacitado en EMP y EMPAM,14.642943015147871,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Tecnico en enfermeria,2.0277310250861587,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Enfermera/o,64.11554743919649,Mujer
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Matrona/on,1.1621150493898895,Mujer
