Ano,nivel_geografico,categoria_estado_nutricional,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_distribucion_pct,20_24_distribucion_pct,25_29_distribucion_pct,30_34_distribucion_pct,35_39_distribucion_pct,40_44_distribucion_pct,45_49_distribucion_pct,50_54_distribucion_pct,55_59_distribucion_pct,60_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2023,rm,Bajo peso,24298,246,990,604,415,294,214,195,195,211,311,20621,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,18201,193827,Mujer,4.832056570418385,2.720378105078039,1.4622572991817169,0.9661948221270256,0.8168935815504307,0.6703420623981957,0.7122767286408299,0.7749473433215436,0.9577848388561053,1.7086973243228394,10.638868681865787,5.059416599167522
2023,rm,Normal,136189,2159,12221,11035,9620,7230,6022,4854,4769,4764,4614,68903,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,18201,193827,Mujer,42.408171282655665,33.58155638601891,26.7152471795865,22.397094430992738,20.08891358710753,18.863550933466986,17.73021149139789,18.952430155386875,21.625056740807988,25.350255480468103,35.548710963900795,28.35776142991298
2023,rm,Obesidad,165634,1308,12200,16194,18419,15887,13989,11859,10244,8080,6088,51366,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,18201,193827,Mujer,25.692398350029467,33.523851395911194,39.20495811746478,42.88275284037996,44.14281744929147,43.819696779852144,43.31738320488001,40.71056710249175,36.677258284157965,33.44871160925224,26.500951879769076,34.48890480642495
2023,rm,Sobrepeso,154132,1378,10981,13473,14498,12579,11699,10469,9955,8975,7188,52937,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,18201,193827,Mujer,27.067373796896483,30.174214112991866,32.617537403767,33.75395790650028,34.95137538205057,36.64641022428267,38.24012857508127,39.56205539879982,40.73990013617794,39.492335585956816,27.31146847446434,32.09391716449454
2024,rm,Bajo peso,27789,276,1105,593,410,292,225,177,163,216,308,24024,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,21214,214173,Mujer,4.721176873075607,2.64556598352806,1.294420675805466,0.8570771578485273,0.7031231187844639,0.632093493650972,0.6007330980179202,0.5850052040340236,0.9038035064228629,1.4518714056754973,11.217100194702413,5.194195898699254
2024,rm,Normal,149326,2507,14274,11971,10489,8071,6560,5281,5252,4997,5058,74866,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,21214,214173,Mujer,42.884023263770096,34.174487646044824,26.130708111411856,21.926542216276104,19.43461195790893,18.429036970446116,17.92356774368721,18.849370132433695,20.9088246370141,23.842745356839824,34.955853445579045,27.91134969841178
2024,rm,Obesidad,187430,1576,14113,18484,20777,18547,15854,13069,11588,9140,7353,56929,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,21214,214173,Mujer,26.958604173794047,33.78902509097874,40.34750720335283,43.4329075819972,44.6603578222447,44.5387122148556,44.355824056475704,41.58920432114274,38.24427800326374,34.66107287640238,26.580848192816088,35.03357937648715
2024,rm,Sobrepeso,170456,1487,12276,14764,16161,14619,12957,10937,10860,9546,8495,58354,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,21214,214173,Mujer,25.436195689360247,29.390921279448385,32.22736400942984,33.78347304387817,35.201907101061906,36.40015732104731,37.11987510181917,38.97642034238955,39.9430938532993,40.0443103610823,27.24619816690246,31.860875026401818
2025,rm,Bajo peso,31127,427,1052,575,383,271,209,210,239,289,419,27055,684677,8785,41549,46336,51443,49201,44946,43763,49508,51635,58950,238563,Mujer,4.860557768924303,2.531950227442297,1.240935773480663,0.7445133448671345,0.5508018129712811,0.46500244738130203,0.47985741379704316,0.48275026258382486,0.5596978793454053,0.7107718405428329,11.340819825371076,4.546231288622226
2025,rm,Normal,166216,3896,13622,11615,10440,8571,6891,5966,6814,7581,9950,80870,684677,8785,41549,46336,51443,49201,44946,43763,49508,51635,58950,238563,Mujer,44.34832100170746,32.78538592986594,25.06690262430939,20.294306319615885,17.42037763460092,15.331731411026563,13.632520622443616,13.763432172578169,14.681901810787256,16.878710771840545,33.89880241277986,24.27655668293224
2025,rm,Obesidad,273020,2152,14729,19454,24007,23860,22593,22892,25387,25622,27163,65161,684677,8785,41549,46336,51443,49201,44946,43763,49508,51635,58950,238563,Mujer,24.49630051223677,35.449709980986306,41.98463397790056,46.66718503975274,48.49494928964859,50.26698705112802,52.30902817448529,51.27858123939565,49.62138084632517,46.07803223070398,27.313958996156153,39.875737026364256
2025,rm,Sobrepeso,214314,2310,12146,14692,16613,16499,15253,14695,17068,18143,21418,65477,684677,8785,41549,46336,51443,49201,44946,43763,49508,51635,58950,238563,Mujer,26.294820717131472,29.232953861705457,31.70752762430939,32.29399529576425,33.533871262779215,33.93627909046411,33.578593789274045,34.47523632544235,35.13701946354217,36.33248515691264,27.446418765692922,31.301475002081276
